252148-17										3	针织	黑色,白色,卡其	L,XL,XXL,XXXL,4XL
26CTX081-1										6	针织	白,灰色,浅蓝色	L,XL,XXL,XXXL,4XL,5XL
26CTX097-1										5	针织	黑色	L,XL,XXL,XXXL,4XL,5XL
6579童装							185*0.57				梭织	黑色,白色	8,10,12,14,7,9,6~12M,12~18M,18~24M,4~5T,5~6T,3~6M,0~3M,2T~3T,3T~4T
AL136							B布140*4厘米				针织	酒红	XS,S,M,L
AL160										16	针织	黑色	M
AL169							罗纹150*2.5c'm				针织	黑色	M
AL170										7	针织	黑色	M
AL172-01											针织	粉杏色	XS,S,M,L,XL,XXL
AL180							罗纹160*2.5cm			6	针织	黑色	L,XL
AL181							罗纹160*2.5cm			6	针织	黑色	L,XL
AL182							罗纹160*2.5cm			6	针织	黑色	L,XL
AL195											针织	棕色	M
AL196							130*28			11	针织	黑色	M
AL197							180*0.02			5	针织	黑色	XL
AL198							190*0.02			5	针织	黑色,纯黑,象牙白	L,XL
AL199											针织	黑色	L,XL
AL200								里布125*45		38	针织	黑色	S
AL201											针织	白色	L
AL202											针织	白	L
AL203											针织	黑色	S
AL204							180*0.03			6	针织	绿色	S
AL205											针织	杏色	S
AL206							135*28			10	针织	杏色	S,M,L
AL207										14	针织	白	S,M,L
AL208										5	针织	白	S,M,L
AL209											针织	米白	L
AL210										5		棕色	M
AL211										5		棕色	M
AL212							135*0.05			5		绿色	M
AL213										2		黑色	S
AL214							罗纹120*23			12			
AL215							罗纹120*11			11			
AL216													
AL217							撞布147*17	里布125*40		38			
AL218											针织	黄色	M
AL219													
AL220													
AL221													
AL224													
AL226											针织	黑色	M
AL227											针织	黑色	M
AL229											针织	黑色	L
AL230											针织	白	L
AM024									120*24	26	梭织	肯特花蜡布橙色,颜色1,颜色2,紫黄肯特,紫色花朵	S,M,L,XL,XXL
AM062											梭织	绿色,黄色	S,M,L,XL,XXL,XXXL
AMY-01-3							罗纹156*3cm			6	针织	蓝色	S,M,L,XL
DH1000													
DH1001S											针织	黄色	M
DH1002S							罗纹190*2CM			10			
DH1003S													
DH1004S													
DH1005S							罗纹173*2			12			
DH1006S							帽里布145*20			8			
DH1007S											针织	白色印花	M
DH1008K											梭织	颜色1	通码
DH1014D											梭织	白色印花	S
DH501S							146*35	130*0.07		9	针织	绿色,黑色,紫色,粉色,红色	one~size
DH811S							白色140*125			5	针织	杏色,黑色,深灰,蓝色,粉色	XS,S,M,L
DH925S									120*25	15	针织	深灰	XS,S,M,L
DH927K										3	梭织	黑色,灰色	XS,S,M,L
DH943S											针织	黑色	S,M,L,XL
DH944S											针织	白色	S,M,L,XL
DH949										9	梭织	颜色1	通码
DH967K										13	针织	白色	S,M,L,XL
DH968S							朴142*35			29	梭织	灰色	M,L,XL,2XL,3XL
DH978										7	梭织	颜色1	one~size
DH979S											梭织	黑色,红色格子,白色	M
DH983S												红白条	L
DH984S												白色印花	L
DH986D									120*30	30		颜色1	M
DH987S							112*70			33		颜色1	M
DH988K									120*25	21		颜色1	M
DH990S										36	针织	灰色	M,L,XL,2XL,3XL
DH991S							1			5	针织	黑色	S
DH992D										9		白色印花	3XL
DH993S												黑色,花灰,绿色	S,M,L,XL,XXL,XXXL
DH996S							130*0.025			6	针织	黄色	M
DH997S							130*0.025			6	针织	黄色	M
DH999													
EL105-1							朴120*31				梭织	粉绿	S,M,L,XL
EL126-k											针织	卡其	S/M
EL126-s											针织	卡其	S/M
EL127											针织	黑色	XL
EL128											针织	黑色	4XL
EL129							180*38	170*12	135*0.06	21	针织	肤色	XL
EL130							160*18			9	针织	蓝色	XL
EL131									120*30	15	针织	红色格子	XL
EL132										15	针织	蓝色	XL
EL133												黑色	L
EL134												白色	XL
EL135												黑色	2XL
EL136												灰色	XL
EL137												蓝色	2XL
EL138												蓝色	20,18
EL139													
EL140											梭织	深灰	M,L
EL141											梭织	红色	M,L
EL142													
EL144										7			
EL145													
EL146													
EL147													
EL148													
EL149											梭织	白色	M
EL150											梭织	黑色	M
EL151											梭织	深蓝	M
EL152											梭织	粉色,灰色	S,M,L,XL,2XL
Er014										7	针织	黑色	XS,S,M,L,XL,XXL
Er017							190*0.02			5	梭织	白色	XS,S,M,L,XL
ER082							115*25			10	针织	黑色,红	XS,S,M,L,XL
Er083							156*15cm			12	针织	黑白拼色,蓝白,黑色撞黄色	XS,S,M,L
Er085							130*25			10	针织	白色	XS,S,M,L,XL
Er088K										7	针织	杏色,粉色,蓝色,灰色	140,130,120,110,100
Er088S										6	针织	杏色,粉色,蓝色,灰色	140,130,120,110,100
Er100							罗纹180*3			9	针织	白色	XS,S,M,L,XL
Er101							罗纹180*3			6	针织	黑色	XS,S,M,L,XL
Er102K							里布145*133			26	针织	黑色	S,M,L,XL
Er102S							里布145*128			26	针织	黑色	S,M,L,XL
Er103												白色	S,M,L,XL
Er104												黑白	S,M,L,XL
Er105							罗纹135*23			9		黑色	XS,S,M,L
Er106K							174*5			9		白色	S,M,L
Er106S							174*5			7		白色	S,M,L
Er107												白色	S,M,L,XL
Er108												红	S,M,L,XL
Er109											针织	白色	L
Er110							罗纹180*3			5	针织	白色,黑色,蓝色	S,M,L,XL,XXL
Er111							罗纹180*3			6	针织	灰色	M
Er112										1	梭织	黑色	通码
Er113K											针织	米杏色	L
Er113S											针织	米杏色	L
Er114							下节156*99			12	针织	灰蓝	M
Er115													
Er116													
Er117													
Er118													
Er119													
Er122											针织	黑色	S,M,L
FO159													
FO160												黑色	S
FO161												深紫色	S
FO162												橙色	S
FO165													
FY0027										1	梭织	棕色	通码
GK274											针织	黑色	XS,S,M,L,XL,XXL
GK279-S							135*28			10	针织	红色	XS,S,M,L,XL,XXL
GK282										4	针织	白色	XS,S,M,L,XL,XXL
GK283										5	针织	白色	XS,S,M,L,XL,XXL
GK287											针织	白色	XS,S,M,L,XL,XXL
GK288											针织	白色	XS,S,M,L,XL,XXL
HWT005											梭织	格子,黑色和棕色格子,绿色格子,白色/棕色格子	3/6M,6~12M,12~18M,18~24M,2,3,4T,5,6T
HY197							里140*205	朴120*33			梭织	白色	XS,S,M,L,XL
HY198									120*15	12	梭织	白色	XS,S,M,L,XL
HY229											梭织	深灰	M,L,XL
HY230							捆条145*6CM	里布152*36		21		浅粉色	M
HY231											梭织	深灰	M,L,XL
IS2604406										5	梭织	米白	XS,S,M,L,XL,XXL
IS2604411											梭织	MULTI  花色	XS,S,M,L,XL,XXL
IS2604437							140*32		120*20	8	梭织	米白	XS,S,M,L,XL,XXL
IS2604439										6	梭织	MULTI  花色	XS,S,M,L,XL,XXL
IS2604464										6	梭织	米白	XS,S,M,L,XL,XXL
IS2604468									120*30	41	梭织	MULTI  花色	XS,S,M,L,XL,XXL
IS2604470										12	梭织	MULTI  花色	XS,S,M,L,XL,XXL
IS2604492										1	梭织	MULTI  花色	通码
IS2604493											梭织	MULTI  花色	通码
IS2604494										1	梭织	MULTI  花色	通码
J001						112*338				10	梭织	蜡布红叶子,蜡布白底迷彩圆涤布,蜡布新迷彩圆涤布,蜡布绿圆涤布,绿色,黄色,米白,绿底印花,大红底印花,深蓝底印花,红底绿,深蓝黑底印花,深蓝撞红色,橙绿肯特,紫黄肯特,橘色肯特,黄绿黑肯特,黄底红园,蜡布 新肯特花,橙色大花,红底蓝印花	通码
JE018							罗纹172*3cm			5	针织	米白/白色组合	S,M,L,XL
JE021							145*61	135*0.06		12	针织	灰色	L
JE022							145*58			20	针织	灰色	L
JE024							184*15			20		灰色	XL
JQ1033										18	梭织	颜色1	4,6,8,10,12,14,16,18
JQ1064										3	梭织	颜色1	通码
