供应商名称	业务范围	联系人	联系电话	工厂地址	结款时间
东莞市虎门永恒拉链厂	辅料	詹文华	13763188098		
冠鑫绣花厂	绣花	韦启思	18825578850		
佳信数码印花	印花	胡柳雅	13699849032		
聚源印花	印花	樊卓	18825789518		
友谊印花厂	印花	尹传秀	13712112006		
彭生凤眼店	开凤眼	张小珍	17873810903		
卓越打条	打条	李雄	13712766737		
旭日打揽/谢生	打揽	吴秀艺	13713026689		
鼎华（嘉华）服装包装实业	辅料,胶袋	郭晓民	13712076547		
龙兴发纸品经营部	辅料,裁床用纸,办公室用品	何丽丽	13922493369		
玉宏纸品包装厂	辅料,包装耗材,胶袋	陈銮玉	13556780110		
凯凌增原辅料	辅料	管彩玲	18006580333		
华得利（新华盛）文具服装辅料批发	办公室用品	吴顺	13532999192		
东莞市松盛拉链	辅料	潘会锋	13798330390		
智轩里布行	里布	苏楚洪	15820800869		
东莞市思为衬布有限公司	衬朴,辅料	齐申妙	13925746683		
华成里布行	里布	陈建华	13925507992		
明乐线业	辅料	郑言明	18688487418		
渝开缩水	缩水	肖志华	18182075716		
昌邑市翔盛隆纺织有限公司	面料	温林	15966168176		
新登封蜡布	面料	宋金梅			
侯振杰蜡布	面料	侯镇杰			
聚能蜡布	面料	李婵	13798171433		
荣威特蜡布	面料	陈国康	15302249291		
Tina档口蜡布	面料	吴会平			
陈耀坤蜡布	面料	陈耀坤	13924031039		
春荣蜡布	面料	谢思瑶			
安徽小花褂	面料	李莉			
齐真布业	面料	陈金玉	13533732073		
凯杰儭布膊棉厂（复合）	衬朴		13570533188		
安利纺织	面料		18818861038		
顺达纺织	面料		18903011060		
宏达里布	里布		13044270215		
银鹰辅料	辅料	0	13710254016		
创发包纽扣	辅料		13422089266		
威廉金属纽扣	辅料		15920162489		
汇州源纺织	面料		18988961562		
锦发五金	辅料		15918790668		
利达纽扣	辅料		15814597376		
创亿辅料（橡筋）	辅料		13352807165		
骏业洗水厂	洗水	曾祥胜	15999786337		
永利纺织	面料		020-8926159		
顺利定制	面料		18620799690		
国豪纽扣	辅料		15218830165		
梭织 搜酷纺织	面料,梳织布	.	18126874764		
四合扣 鹏发五金	辅料	.	13825741678		
提花松紧带 蓝天蓝辅料	辅料	.	13688872455		
石狮华龙	辅料		020-8926126		
永豪辅料	辅料		020-8923545		
利泰辅料	辅料		020-3416777		
拉拉拉定制	辅料				
致远辅料	辅料		13711012662		
添丰辅料	辅料		020-3424872		
新力辅料	辅料		13609711629		
梭织印花 万泽纺织	面料	.	.		
明锐纺织	面料				
盈晟针织	面料	陈生	13717198889		
华成纺织	里布		13925507992		
梭织 千秋布业	面料,梳织布	王玲玲	15818446665		
梭织提花粗纺 心怡纺织	面料	朱先生	13827240324		
嘉丰松紧带	辅料		18027039888		
祥盛罗纹	面料,B布料	陈亮	13580897369		
润森纺织	面料	李生	020-8926439		
丰盈国际	面料	丰盈国际	13538395021		
针织 潮新布行	B布料	潮新布行	13612682996		
梭织棉布提花 梦之蓝布业	梳织布	.	13650417618		
志盛纺织	面料	刘生	020-8446803		
添丽纺织	A布料		020-8944889		
鸿运布行	面料,A布料	黄生	020-8415857		
必合网布	面料,A布料	陈生	13925077705		
凱盛亨	面料,A布料	陈生	020-8963569		
凯瑞时尚面料馆	面料	李生	15915888675		
顺迪皮革商行	面料	王晓微	13760685768		
南海广源五金	辅料	南海	13927786022		
唛头 明新辅料	辅料	梁生	.		
梭织印花 鸿兴纺织	面料,梳织布	鸿兴	13925786263		
(广纶纺织）绍兴慕艺纺织有限公司	A布料	杨孕粤	18657559119		
针织 泰森布业	A布料,针织布	业务员	84081268		
东玛仕	面料				
印花-连创印花厂	印花	李荣福	15015301598		
针织 新昇贸易公司	面料,针织布	聂美玉	0769-851626		
广州宇皓纺织	面料	业务员			
针织-坤发纺织	面料	赵雪霞	020-9929182		
毛毛 林鑫纺织	毛毛布	业务员	13450258641		
欣龙旺纺织	面料	业务员	0769-852318		
网布 聚宏网布	面料	柯燕玲	13580777716		
格子梭织 珊珊纺织	梳织布	业务员	0769-850736		
人棉梭织印花 龙旺纺织	面料	业务员	13424888999		
群兴五金扣行	辅料	肖锐龙	13729979811		
针织扎染 丰远布行	针织布	丰远布行	13713086680		
梭织印花 彩丰布行	面料	江燕华	13556082690		
毛毛- 联发纺织	毛毛布		020-8923375		
弘翔宗兴		布行	13501536788		
衣尚美		衣尚美	18898889572		
金年丰纺织	面料,A布料	李生	020-8415883		
梭织麻布华鲁麻业	A布料,面料	业务员	020-8977731		
丽佳花边	绣花	周生	13925133331		
建昇花边	绣花	李生	13610103345		
（面料）百优	面料	陈生	15999895326		
亿业布业	面料	罗生	13926420119		
展发布行		李丹容	020-8910278		
毛毛 利盈毛绒	面料,毛毛布	利盈	13620005601		
嘉丰		李生	18027039888		
聚丰织带		陈生	15822652233		
多彩花边		吴生	18955662256		
龙彬花边		龙生	18955996625		
利丰布行	面料				
新洲布行	面料	新洲客服	13512788635		
花时尚		李生	020-8999718		
德隆优酷	面料	业务员	13044270215		
业兴纺织		客服	13760710113		
巴黎布行		客服	19866165578		
大家发	辅料		13829779688		
忠意花边	面料,A布料	李小姐	15888569962		
红日光麻业	面料,A布料	李生	13798707002		
协新纺织双面割绒460g	梳织布				
智轩布行	里布				
金盛布业		金盛	13729461095		
心怡纺织	面料,A布料	朱生	15975268688		
皮革- 骏发纺织	面料	骏发	020-8445791		
双叶布行		双叶跟单			
铭泰布业		铭泰	13622268987		
豪盛毛绒	毛毛布		13829164545		
灿星纺织	面料				
衣蝶布行	面料		15814214217		
肩棉 胸棉 大丰辅料	辅料	大丰	15999895868		
力顺网布	B布料	李元	0769-825599		
浩发纺织	A布料,面料	李生	13622748898		
布布发	面料,A布料		02089992876		
添彩纽扣					
鸿运纺织					
昌盛纺织（梳织）	面料	昌盛	13928734139		
瑜伽料 仁亿纺织	面料	吴生	13559589898		
梦之蓝布业		梦之蓝	13650417618		
鑫达布行	里布	鑫达	13537358293		
梭织 昇晖纺织	梳织布,面料	昇晖	13570968826		
色丁梭织 华亚纺织	里布	华亚	0769-852625		
蕾丝花边 鸿兴花边	B布料	鸿兴	13790579555		
瑜伽运动 潮新纺织	面料,针织布	潮新	13612682996		
中泰纺织	面料,A布料		13544579943		
花仙子			13422262276		
合想纺织			18820044209		
会丰纺织					
恒嘉纺织	A布料	恒嘉	13710567285		
新花园		新花园			
亚域纺织		客服	020-3441977		
梭织 永昌纺织	梳织布,面料	永昌	13713064702		
盛发纺织			13825163576		
褔清褔祥纺织	面料	张棋	18024340059		
华兴纺织	面料	华兴	13622628076		
振宇皮革	面料				
棉绳 恒发辅料	辅料	恒发	15013167319		
金典布行		13602302579			
伟盛纺织	A布料	伟盛	13798768897		
梭织 富源纺织	梳织布	富源	020-8119909		
欢派羽毛	辅料	欢派	13631775988		
韩国绒 翔发纺织	面料	翔发	020-8911919		
溢彩纺织	面料	溢彩	13929271811		
光明魔术贴	辅料				
米兰尚纺	梳织布		18664283225		
佰年纺织	梳织布		13544544999		
鸿利纺织	A布料		18024463998		
富源纺织	B布料		13790159505		
高达纺织	B布料	高达	13412800252		
鸿兴纺织		刘潮华	13924331804		
希音					
毓秀刺绣	辅料		13570531588		
栓新	针织布		13602799526		
润发打揽	打揽	程小姐	15015188299		
华峰	B布料		89260428		
品尚	B布料		89807699		
亚域	B布料				
同富	B布料				
若东	B布料				
明港网布	B布料				
嘉鑫纺织	面料				
金凤	辅料				
开胜布行			020-8910439		
广州泽区	B布料				
春竹纺织					
之彩					
鸿升纺织	面料	鸿升	18675760600		
雅致纺织	面料	雅致	020-3424836		
柏润纺织	面料	栢润	020-8926612		
梦幻纺织	面料	梦幻	020-8998986		
浩吉纺织	面料	王秀媚	13925767410		
恒利达	面料	恒利达	13924206838		
成轩纺织	面料	吴小姐	13725765760		
杰利	衬朴		13928710788		
利达	辅料	利达	15814597376		
成就印花厂	印花	郑生	13790685698		
万泽纺织	B布料	万泽	0769-818173		
雄利纺织	A布料	雄利	0769-850152		
森裕	B布料		87323466		
华发	A布料	华发	020-8926010		
大新	C布料	大新	89261244		
银通	辅料	银通	13631307668		
振宇	B布料	王生	13829202989		
仟汇	面料	仟汇	18122126501		
