13471	26CTX081-1	印花	建业印花		裁片印花	1.00	1.00	成衣
11994	AL136	绣花	冠鑫绣花厂		口袋绣花	14.00	1.00	成衣
11994	AL136	辅料	凯凌增原辅料			1.50	1.00	成衣
12456	AL160	印花	友谊印花厂			4.00	1.00	成衣
12639	AL169	印花	新颖丝网印花厂			13.00	1.00	成衣
12639	AL169	辅料	凯凌增原辅料			1.50	1.00	成衣
12640	AL170	印花	新颖丝网印花厂			5.00	1.00	成衣
12640	AL170	辅料	凯凌增原辅料		辅料	1.50	1.00	成衣
13648	AL172-01	直喷	佳信数码印花			20.00	1.00	成衣
13648	AL172-01	辅料	凯凌增原辅料		辅料	1.50	1.00	成衣
13648	AL172-01	洗水厂	骏业洗水厂			2.50	1.00	成衣
12913	AL180	烫画	彩旗烫画印花厂			2.50	1.00	成衣
12913	AL180	辅料	凯凌增原辅料		辅料	1.50	1.00	成衣
12914	AL181	烫画	彩旗烫画印花厂			4.00	1.00	成衣
12914	AL181	辅料	凯凌增原辅料		辅料	1.50	1.00	成衣
12915	AL182	烫画	彩旗烫画印花厂			2.50	1.00	成衣
12915	AL182	辅料	凯凌增原辅料		辅料	1.50	1.00	成衣
13611	AL196	烫画	彩旗烫画印花厂			5.00	1.00	成衣
13611	AL196	辅料	凯凌增原辅料		辅料	1.50	1.00	成衣
13617	AL197	绣花	洪轩绣花厂			28.00	1.00	成衣
13617	AL197	烫画	彩旗烫画印花厂			26.00	1.00	成衣
13617	AL197	辅料	凯凌增原辅料		辅料	1.50	1.00	成衣
13622	AL198	烫画	彩旗烫画印花厂			0.00	1.00	成衣
13622	AL198	辅料	凯凌增原辅料		辅料	1.50	1.00	成衣
13623	AL199	烫画	彩旗烫画印花厂			3.00	1.00	成衣
13623	AL199	辅料	凯凌增原辅料		辅料	1.50	1.00	成衣
13626	AL200	辅料	凯凌增原辅料		辅料	1.50	1.00	成衣
13635	AL201	辅料	凯凌增原辅料		辅料	1.50	1.00	成衣
13650	AL203	烫画	彩旗烫画印花厂			15.00	1.00	成衣
13650	AL203	辅料	凯凌增原辅料		辅料	1.50	1.00	成衣
13646	AL204	直喷	佳信数码印花			25.00	1.00	成衣
13646	AL204	辅料	凯凌增原辅料		辅料	1.50	1.00	成衣
13660	AL205	绣花	洪轩绣花厂			10.00	1.00	成衣
13660	AL205	辅料	凯凌增原辅料		辅料	1.50	1.00	成衣
13677	AL206	绣花	洪轩绣花厂			28.00	1.00	成衣
13677	AL206	辅料	凯凌增原辅料		辅料	1.50	1.00	成衣
13678	AL207	直喷	肖保华			23.00	0.68	成衣
13678	AL207	辅料	凯凌增原辅料		辅料	1.50	1.00	成衣
13679	AL208	直喷	肖保华			23.00	0.38	成衣
13679	AL208	辅料	凯凌增原辅料		辅料	1.50	1.00	成衣
13662	AL209	辅料	凯凌增原辅料		辅料	1.50	1.00	成衣
13681	AL210	辅料	凯凌增原辅料		辅料	1.50	1.00	成衣
13682	AL211	直喷	佳信数码印花			25.00	1.00	成衣
13682	AL211	辅料	凯凌增原辅料			1.50	1.00	成衣
13683	AL212	辅料	凯凌增原辅料		辅料	1.50	1.00	成衣
13713	AL213	烫画	彩旗烫画印花厂			2.50	1.00	成衣
13713	AL213	辅料	凯凌增原辅料		辅料	1.50	1.00	成衣
13887	AL214	绣花	洪轩绣花厂			8.00	1.00	成衣
13887	AL214	辅料	凯凌增原辅料		辅料	1.50	1.00	成衣
13886	AL215	绣花	洪轩绣花厂			8.00	1.00	成衣
13886	AL215	辅料	凯凌增原辅料		辅料	1.50	1.00	成衣
13895	AL218	辅料	凯凌增原辅料		辅料	1.50	1.00	成衣
6115	AM024	辅料	鼎华（嘉华）服装包装实业		主麦，洗水唛，吊牌，胶袋纸箱	1.00	1.00	成衣
13591	AMY-01-3	烫画	彩旗烫画印花厂			5.50	1.00	成衣
13591	AMY-01-3	辅料	凯凌增原辅料			1.50	1.00	成衣
13808	DH1001S	辅料	凯凌增原辅料		辅料	1.50	1.00	成衣
13896	DH1002S	绣花	洪轩绣花厂			0.00	1.00	成衣
13896	DH1002S	辅料	凯凌增原辅料		辅料	1.50	1.00	成衣
13896	DH1002S	洗水厂	洁创洗水厂		1件	5.00	1.00	成衣
13898	DH1005S	绣花	洪轩绣花厂			0.00	1.00	成衣
13898	DH1005S	直喷	佳信数码印花			15.00	1.00	成衣
13898	DH1005S	辅料	凯凌增原辅料		辅料	1.50	1.00	成衣
7473	DH501S	绣花	炬辉绣花厂			2.50	1.00	成衣
7473	DH501S	辅料	凯凌增原辅料		辅料	1.50	1.00	成衣
10875	DH811S	辅料	凯凌增原辅料		辅料	1.50	1.00	成衣
12211	DH925S	辅料	凯凌增原辅料		辅料	1.50	1.00	成衣
12275	DH927K	辅料	凯凌增原辅料		辅料	1.50	1.00	成衣
12844	DH943S	烫画	彩旗烫画印花厂			8.50	1.00	成衣
12844	DH943S	辅料	凯凌增原辅料		辅料	1.50	1.00	成衣
12866	DH944S	烫画	彩旗烫画印花厂			8.50	1.00	成衣
12866	DH944S	辅料	凯凌增原辅料		辅料	1.50	1.00	成衣
13069	DH949	打揽	恒力打揽			3.00	1.00	成衣
13069	DH949	辅料	凯凌增原辅料			1.50	1.00	成衣
13512	DH967K	辅料	凯凌增原辅料		辅料	1.50	1.00	成衣
13548	DH968S	绣花	洪轩绣花厂			10.00	1.00	成衣
13548	DH968S	辅料	凯凌增原辅料		辅料	1.50	1.00	成衣
13605	DH978	打揽	恒力打揽			3.50	1.00	成衣
13605	DH978	辅料	凯凌增原辅料		辅料	1.50	1.00	成衣
13640	DH979S	辅料	凯凌增原辅料		辅料	1.50	1.00	成衣
13640	DH979S	数码印花	友谊印花厂			25.50	1.00	成衣
13692	DH983S	直喷	祺盛印花			16.00	0.90	成衣
13692	DH983S	辅料	凯凌增原辅料		辅料	1.50	1.00	成衣
13695	DH984S	直喷	祺盛印花			16.00	0.90	成衣
13695	DH984S	辅料	凯凌增原辅料		辅料	1.50	1.00	成衣
13722	DH986D	辅料	凯凌增原辅料		辅料	1.50	1.00	成衣
13723	DH987S	辅料	凯凌增原辅料		辅料	1.50	1.00	成衣
13724	DH988K	辅料	凯凌增原辅料		辅料	1.50	1.00	成衣
13732	DH990S	绣花	炬辉绣花厂			6.50	1.00	成衣
13732	DH990S	辅料	凯凌增原辅料		辅料	1.50	1.00	成衣
13739	DH991S	数码印花	友谊印花厂			21.00	1.00	成衣
13739	DH991S	辅料	凯凌增原辅料		辅料	1.50	1.00	成衣
13765	DH993S	辅料	凯凌增原辅料		辅料	1.50	1.00	成衣
13810	DH996S	辅料	凯凌增原辅料		辅料	1.50	1.00	成衣
13809	DH997S	辅料	凯凌增原辅料		辅料	1.50	1.00	成衣
12705	EL105-1	烫钻	彩旗烫画印花厂			90.00	1.00	成衣
12705	EL105-1	辅料	凯凌增原辅料		辅料	1.50	1.00	成衣
13667	EL127	烫画	彩旗烫画印花厂			4.50	1.00	成衣
13667	EL127	辅料	凯凌增原辅料		辅料	1.50	1.00	成衣
13668	EL128	烫画	彩旗烫画印花厂			4.00	1.00	成衣
13668	EL128	辅料	凯凌增原辅料		辅料	1.50	1.00	成衣
13672	EL129	绣花	洪轩绣花厂			10.00	1.00	成衣
13672	EL129	辅料	凯凌增原辅料		辅料	1.50	1.00	成衣
13673	EL130	绣花	洪轩绣花厂			8.00	1.00	成衣
13673	EL130	辅料	凯凌增原辅料		辅料	1.50	1.00	成衣
13674	EL131	绣花	全秀绣花厂			8.00	1.00	成衣
13674	EL131	辅料	凯凌增原辅料		辅料	1.50	1.00	成衣
13675	EL132	绣花	洪轩绣花厂			10.00	1.00	成衣
13675	EL132	辅料	凯凌增原辅料		辅料	1.50	1.00	成衣
13725	EL133	烫画	彩旗烫画印花厂			5.00	1.00	成衣
13725	EL133	辅料	凯凌增原辅料		辅料	1.50	1.00	成衣
13733	EL134	绣花	洪轩绣花厂			16.00	1.00	成衣
13733	EL134	辅料	凯凌增原辅料		辅料	1.50	1.00	成衣
13762	EL135	绣花	洪轩绣花厂			12.00	1.00	成衣
13762	EL135	辅料	凯凌增原辅料			1.50	1.00	成衣
13783	EL140	烫画	彩旗烫画印花厂			2.00	1.00	成衣
13783	EL140	辅料	凯凌增原辅料		辅料	1.50	1.00	成衣
13784	EL141	烫钻	彩旗烫画印花厂			27.00	1.00	成衣
13784	EL141	辅料	凯凌增原辅料		辅料	1.50	1.00	成衣
13875	EL145	直喷	佳信数码印花			22.00	1.00	成衣
13875	EL145	辅料	凯凌增原辅料		辅料	1.50	1.00	成衣
13876	EL146	直喷	佳信数码印花			20.00	1.00	成衣
13876	EL146	辅料	凯凌增原辅料		辅料	1.50	1.00	成衣
11583	Er014	印花	友谊印花厂		裁片发泡	18.00	1.00	成衣
11583	Er014	辅料	凯凌增原辅料		辅料	1.50	1.00	成衣
11638	Er017	直喷	佳信数码印花		裁片直喷	10.00	1.00	成衣
11638	Er017	洗水	骏业洗水厂		坯布洗水	2.00	0.90	成衣
10052	ER082	绣花	冠鑫绣花厂		帽子绣花	4.00	1.00	成衣
10052	ER082	直喷	佳信数码印花		前幅直喷	12.00	1.00	成衣
12963	Er085	印花	佳信数码印花			12.00	1.00	成衣
13612	Er101	印花	彩旗烫画印花厂			10.00	1.00	成衣
13658	Er102S	复合朴	凯杰儭布膊棉厂（复合）			3.00	2.00	成衣
13740	Er104	绣花	全秀绣花厂		左右袖子绣花，后幅，	40.00	1.00	成衣
13740	Er104	烫画	彩旗烫画印花厂		前副烫画	2.00	1.00	成衣
13745	Er106K	直喷	佳信数码印花		左右前副直喷	18.00	1.00	成衣
13744	Er106S	直喷	佳信数码印花		前副直喷	14.00	1.00	成衣
13757	Er107	直喷	佳信数码印花			10.00	1.00	成衣
13770	Er108	印花	友谊印花厂			8.00	1.00	成衣
13781	Er109	直喷	佳信数码印花		后幅直喷	12.00	1.00	成衣
13781	Er109	绣花	冠鑫绣花厂		前后绣花	10.00	1.00	成衣
13871	Er111	直喷	佳信数码印花			12.00	1.00	成衣
13787	Er112	印花	友谊印花厂		丝印	6.00	1.00	成衣
13869	Er113S	直喷	佳信数码印花			22.00	1.00	成衣
13888	Er114	绣花	冠鑫绣花厂			20.00	1.00	成衣
13758	FO160	绣花	洪轩绣花厂			38.00	1.00	成衣
13758	FO160	辅料	凯凌增原辅料		辅料	1.50	1.00	成衣
13760	FO161	绣花	洪轩绣花厂			0.00	1.00	成衣
13760	FO161	辅料	凯凌增原辅料		辅料	1.50	1.00	成衣
13761	FO162	绣花	洪轩绣花厂			0.00	1.00	成衣
13761	FO162	辅料	凯凌增原辅料		辅料	1.50	1.00	成衣
8962	FY0027	绣花	炬辉绣花厂			3.50	1.00	成衣
8962	FY0027	辅料	凯凌增原辅料		辅料	1.50	1.00	成衣
13094	GK274	辅料	凯凌增原辅料			1.50	1.00	成衣
13094	GK274	烫画	彩旗烫画印花厂			5.00	1.00	成衣
13180	GK279-S	绣花	洪轩绣花厂			12.00	1.00	成衣
13180	GK279-S	数码印花	友谊印花厂			10.00	1.00	成衣
13180	GK279-S	辅料	凯凌增原辅料		辅料	1.50	1.00	成衣
13180	GK279-S	烫钻	彩旗烫画印花厂			22.00	1.00	成衣
13651	GK282	数码印花	友谊印花厂			0.00	1.00	成衣
13651	GK282	辅料	凯凌增原辅料		辅料	1.50	1.00	成衣
13652	GK283	数码印花	友谊印花厂			0.00	1.00	成衣
13652	GK283	辅料	凯凌增原辅料		辅料	1.50	1.00	成衣
